path	node	rank
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natronobacterium;	Natronobacterium	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natronococcus;	Natronococcus	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natronolimnobius;	Natronolimnobius	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natronomonas;	Natronomonas	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natronorubrum;	Natronorubrum	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;RDI82;	RDI82	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Salarchaeum;	Salarchaeum	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Salinarchaeum;	Salinarchaeum	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;SFH1C031;	SFH1C031	genus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;uncultured;	uncultured	genus
Archaea;Euryarchaeota;Methanobacteria;	Methanobacteria	class
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;	Methanobacteriales	order
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;	Methanobacteriaceae	family
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;	Methanobacterium	genus
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;	Methanobrevibacter	genus
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera;	Methanosphaera	genus
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanothermobacter;	Methanothermobacter	genus
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;uncultured;	uncultured	genus
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermaceae;	Methanothermaceae	family
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermaceae;Methanothermus;	Methanothermus	genus
Archaea;Euryarchaeota;Methanococci;	Methanococci	class
Archaea;Euryarchaeota;Methanococci;Methanococcales;	Methanococcales	order
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;	Methanocaldococcaceae	family
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus;	Methanocaldococcus	genus
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanotorris;	Methanotorris	genus
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;	Methanococcaceae	family
